DatGeracaoConjuntoDados,Codcvnarr,AnmArrecadacao,DatVencimentoTitulo,DatIncidenciaMultaMora,DatPagamentoTitulo,QtdDiasEmAtraso,SigNomAgente,NumCPFCNPJ,NomEmpreendimento,NumProcessoSIC,NumAutoInfracao,DscSituacaoArrecadacao,DscSituacaoCredito,VlrPcpPrvArr,VlrTotPvrArr,VlrTotPagArr,VlrTotDifPvrPagArr,VlrSelic
2024-09-10,2600226,201412,2015-01-02,2015-06-22,2015-06-24,173.0,WOBBEN WINDPOWER INDÚSTRIA E COMÉRCIO LTDA,1027335000166,-,PCEE/CEE/0030/2014,0014/2014-ARCE,Quitada pela conciliação automática,Quitada,14437.71,15130.72,15130.72,0.0,0.8536
2024-09-10,2600226,201412,2015-01-02,2015-04-27,2015-06-24,173.0,WOBBEN WINDPOWER INDÚSTRIA E COMÉRCIO LTDA,1027335000166,-,PCEE/CEE/0029/2014,0013/2014-ARCE,Quitada pela conciliação automática,Quitada,20090.8,21055.16,21055.16,0.0,0.8536
2024-09-10,2940946,202109,2021-09-21,2021-09-12,2021-09-15,-6.0,WOBBEN WINDPOWER INDÚSTRIA E COMÉRCIO LTDA,1027335000166,-,03631646/2021,0007/2021-ARCE,Quitada pela conciliação automática,Quitada,1622.62,1216.97,1216.97,0.0,0.3378
2024-09-10,2940946,201708,2018-01-06,2017-12-30,2018-05-07,121.0,Parque Eólico Laranjeiras IX S.A.,21815934000151,-,485000000952017,0068/2017-SFG,Quitada pela conciliação automática,Quitada,10112.26,10667.42,10667.42,0.0,0.5045
2024-09-10,2940946,201708,2018-02-05,2017-12-30,2018-06-08,123.0,Parque Eólico Laranjeiras IX S.A.,21815934000151,-,485000000952017,0068/2017-SFG,Quitada pela conciliação automática,Quitada,10112.26,10720.01,10720.01,0.0,0.4998
2024-09-10,2940946,201708,2018-03-07,2017-12-30,2018-07-10,125.0,Parque Eólico Laranjeiras IX S.A.,21815934000151,-,485000000952017,0068/2017-SFG,Quitada pela conciliação automática,Quitada,10112.26,10772.59,10772.59,0.0,0.4945
2024-09-10,2940946,201708,2017-10-08,2017-12-30,2018-02-14,129.0,Parque Eólico Laranjeiras IX S.A.,21815934000151,-,485000000952017,0068/2017-SFG,Quitada pela conciliação automática,Quitada,10112.26,10513.72,10513.72,0.0,0.5214
2024-09-10,2940946,201708,2017-09-08,2017-12-30,2018-01-10,124.0,Parque Eólico Laranjeiras IX S.A.,21815934000151,-,485000000952017,0068/2017-SFG,Quitada pela conciliação automática,Quitada,10112.26,10455.07,10455.07,0.0,0.5278
2024-09-10,2940946,201708,2017-08-19,2017-12-30,2017-12-12,115.0,Parque Eólico Laranjeiras IX S.A.,21815934000151,-,485000000952017,0068/2017-SFG,Quitação manual,Quitada,10112.26,10400.46,10400.46,0.0,0.5342
2024-09-10,2940946,201708,2017-12-07,2017-12-30,2018-04-10,124.0,Parque Eólico Laranjeiras IX S.A.,21815934000151,-,485000000952017,0068/2017-SFG,Quitada pela conciliação automática,Quitada,10112.26,10614.84,10614.84,0.0,0.5103
