Data_Geracao,Cod_Arrecadacao,Ano_Arrecadacao,Data_Vencimento,Data_Multa,Data_Pagamento,Dias_Em_Atraso,Nome_Agente,Num_Auto_Infracao,Situacao_Arrecadacao,Situacao_Credito,Valor_Principal,Valor_Total,Valor_Pago,Valor_Diferenca,Taxa_Selic,Atraso_Pagamento
2024-09-10,2600226,201412,2015-01-02,2015-06-22,2015-06-24,173.0,WOBBEN WINDPOWER INDÚSTRIA E COMÉRCIO LTDA,0014/2014-ARCE,Quitada pela conciliação automática,Quitada,14437.71,15130.72,15130.72,0.0,0.8536,Sim
2024-09-10,2600226,201412,2015-01-02,2015-04-27,2015-06-24,173.0,WOBBEN WINDPOWER INDÚSTRIA E COMÉRCIO LTDA,0013/2014-ARCE,Quitada pela conciliação automática,Quitada,20090.8,21055.16,21055.16,0.0,0.8536,Sim
2024-09-10,2940946,202109,2021-09-21,2021-09-12,2021-09-15,-6.0,WOBBEN WINDPOWER INDÚSTRIA E COMÉRCIO LTDA,0007/2021-ARCE,Quitada pela conciliação automática,Quitada,1622.62,1216.97,1216.97,0.0,0.3378,Não
2024-09-10,2940946,201708,2018-01-06,2017-12-30,2018-05-07,121.0,Parque Eólico Laranjeiras IX S.A.,0068/2017-SFG,Quitada pela conciliação automática,Quitada,10112.26,10667.42,10667.42,0.0,0.5045,Sim
2024-09-10,2940946,201708,2018-02-05,2017-12-30,2018-06-08,123.0,Parque Eólico Laranjeiras IX S.A.,0068/2017-SFG,Quitada pela conciliação automática,Quitada,10112.26,10720.01,10720.01,0.0,0.4998,Sim
2024-09-10,2940946,201708,2018-03-07,2017-12-30,2018-07-10,125.0,Parque Eólico Laranjeiras IX S.A.,0068/2017-SFG,Quitada pela conciliação automática,Quitada,10112.26,10772.59,10772.59,0.0,0.4945,Sim
2024-09-10,2940946,201708,2017-10-08,2017-12-30,2018-02-14,129.0,Parque Eólico Laranjeiras IX S.A.,0068/2017-SFG,Quitada pela conciliação automática,Quitada,10112.26,10513.72,10513.72,0.0,0.5214,Sim
2024-09-10,2940946,201708,2017-09-08,2017-12-30,2018-01-10,124.0,Parque Eólico Laranjeiras IX S.A.,0068/2017-SFG,Quitada pela conciliação automática,Quitada,10112.26,10455.07,10455.07,0.0,0.5278,Sim
2024-09-10,2940946,201708,2017-08-19,2017-12-30,2017-12-12,115.0,Parque Eólico Laranjeiras IX S.A.,0068/2017-SFG,Quitação manual,Quitada,10112.26,10400.46,10400.46,0.0,0.5342,Sim
2024-09-10,2940946,201708,2017-12-07,2017-12-30,2018-04-10,124.0,Parque Eólico Laranjeiras IX S.A.,0068/2017-SFG,Quitada pela conciliação automática,Quitada,10112.26,10614.84,10614.84,0.0,0.5103,Sim
2024-09-10,2940946,201708,2017-11-07,2017-12-30,2018-03-12,125.0,Parque Eólico Laranjeiras IX S.A.,0068/2017-SFG,Quitada pela conciliação automática,Quitada,10112.26,10561.24,10561.24,0.0,0.5157,Sim
2024-09-10,2940946,202003,2020-03-25,2020-09-18,,0.0,CANDENGO ENERGIAS RENOVAVEIS S.A.,0004/2020-SFG,Cancelada,Advertência  ,0.0,0.0,,0.0,0.3799,Não
2024-09-10,2940946,201809,2018-10-05,2018-10-06,2018-10-31,26.0,CANDENGO ENERGIAS RENOVAVEIS S.A.,1010/2018-SFG,Quitada pela conciliação automática,Quitada,2522.59,2739.03,2739.03,0.0,0.4577,Sim
2024-09-10,2940946,201805,2018-07-15,2018-10-07,2019-04-08,267.0,Cedro Administração e Participações Ltda,0001/2018-SFG,Quitada pela conciliação automática,Quitada,10375.0,13084.95,13084.95,0.0,0.4735,Sim
2024-09-10,2940946,201805,2018-11-12,2018-10-07,2019-07-08,238.0,Cedro Administração e Participações Ltda,0001/2018-SFG,Quitada pela conciliação automática,Quitada,10375.0,13243.69,13243.69,0.0,0.4528,Sim
2024-09-10,2940946,201805,2018-08-14,2018-10-07,2019-03-08,206.0,Cedro Administração e Participações Ltda,0001/2018-SFG,Quitada pela conciliação automática,Quitada,10375.0,13036.19,13036.19,0.0,0.4678,Sim
